web_name,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Botman,1.8,45,5.4,6,39,33.8,219.6,37.9,80.0,1626695,2841933,4
Bruno G.,2.6,58,2.0,1,52,96.5,331.6,411.6,220.0,208894,355692,3
Burn,3.4,44,4.3,1,54,54.7,295.4,63.2,188.0,1607919,1509428,2
Darlow,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,0,952,0
Dubravka,4.4,42,8.2,8,25,25.4,243.8,10.0,0.0,892287,161743,1
Fraser,0.0,49,0.0,0,0,0.0,0.0,0.0,0.0,285,4192,0
Gillespie,0.0,39,0.1,0,0,0.0,0.0,0.0,0.0,5317,5487,0
Gordon,3.2,61,19.3,5,97,123.8,431.6,335.1,475.0,3828020,1921520,8
Hayden,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,851,4742,0
Hendrick,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,716,4940,0
Isak,3.2,76,14.3,6,72,97.1,361.2,154.0,458.0,2728095,3424254,9
Joelinton,1.8,58,0.5,1,41,66.1,247.8,248.8,165.0,75018,138581,3
Krafth,1.6,44,0.0,0,10,9.6,28.8,62.8,5.0,1418,1949,1
Kuol,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,643,0
Lascelles,1.4,41,5.7,1,44,33.6,231.6,34.9,69.0,1060430,528586,3
J.Lewis,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,0,855,0
Longstaff,2.4,48,0.4,4,49,63.1,251.2,191.9,186.0,153534,143859,0
Manquillo,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,3232,6236,0
J.Murphy,0.0,48,0.1,0,24,19.5,103.4,54.3,39.0,29809,45278,3
Pope,0.0,53,5.7,0,56,30.1,297.4,0.0,4.0,547627,1159976,1
Ritchie,0.4,43,0.2,0,6,7.6,18.6,5.2,52.0,16998,22441,0
Saint-Maximin,0.0,60,0.0,0,0,0.0,0.0,0.0,0.0,0,5346,0
Schär,0.6,53,5.9,0,56,57.3,380.6,82.7,109.0,1167012,841331,4
Targett,0.0,42,0.1,0,2,2.2,9.2,11.9,0.0,5902,17807,0
Tonali,0.0,52,1.1,0,16,23.8,81.8,105.0,50.0,194967,345260,0
Trippier,0.4,67,37.8,0,85,138.4,504.4,807.1,73.0,3758844,3312831,18
Watts,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,0,8075,0
Willock,0.0,53,0.1,0,4,9.8,23.4,27.7,47.0,6642,23161,0
Wilson,1.8,78,3.9,0,55,80.8,286.0,74.6,454.0,819493,1313369,4
B.Aguilera,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,1121,0
Arter,0.0,43,0.1,0,0,0.0,0.0,0.0,0.0,28275,23761,0
Aurier,0.0,45,0.8,0,27,31.8,187.6,84.8,45.0,257740,254862,3
Awoniyi,0.0,63,1.3,0,42,46.8,191.2,111.6,167.0,831102,853718,3
Biancone,0.0,39,0.1,0,0,0.0,0.0,0.0,0.0,1479,9116,0
Boly,0.2,45,0.4,1,37,53.9,317.8,59.1,161.0,123873,110375,3
Bowler,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,342,0
Cook,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,2316,0
Danilo,1.4,53,0.1,2,18,11.7,52.6,39.1,26.0,2861,11641,0
